start,end,tournament,round,round_match_number,player1,player2,deck1,deck2,map,victor,victory,format,unknown_order,recorder,notes
2020-10-20,2020-10-26,XCAFS20,3,2,charnel_mouse,dwarddd,[BalanceF20]/BloodF20/StrengthF20,MonoPurpleF20,,dwarddd,normal,forum,,charnel_mouse,
2020-10-26,2020-10-26,XCAFS20,4,1,zhavier,codexnewb,[BalanceF20/FeralF20]/BloodF20,[FutureF20]/PeaceF20/TruthF20,,zhavier,normal,forum,,charnel_mouse,
2020-10-21,2020-10-27,XCAFS20,3,5,James,CarpeGuitarrem,MonoBlueF20,[BashingF20]/DisciplineF20/FireF20,,James,normal,forum,,charnel_mouse,
2020-10-26,2020-10-28,XCAFS20,4,5,Nekoatl,FrozenStorm,[GrowthF20]/StrengthF20/TruthF20,[BashingF20]/DisciplineF20/NinjitsuF20,,FrozenStorm,normal,forum,,charnel_mouse,
2020-10-27,2020-10-29,XCAFS20,4,4,EricF,James,[PastF20]/PeaceF20/TruthF20,MonoBlueF20,,EricF,normal,forum,,charnel_mouse,
2020-10-26,2020-10-31,XCAFS20,4,2,bansa,charnel_mouse,[LawF20/PeaceF20]/FinesseF20,[BalanceF20]/BloodF20/StrengthF20,,bansa,normal,forum,,charnel_mouse,
2020-10-27,2020-10-31,XCAFS20,4,3,dwarddd,Bomber678,MonoPurpleF20,[BashingF20]/DisciplineF20/FireF20,,dwarddd,normal,forum,,charnel_mouse,
2020-11-02,2020-11-02,XCAFS20,5,3,FrozenStorm,codexnewb,[BashingF20]/DisciplineF20/NinjitsuF20,[FutureF20]/PeaceF20/TruthF20,,FrozenStorm,normal,forum,,charnel_mouse,
2020-11-02,2020-11-05,XCAFS20,5,2,bansa,dwarddd,[LawF20/PeaceF20]/FinesseF20,MonoPurpleF20,,bansa,normal,forum,,charnel_mouse,
2020-11-04,2020-11-06,XCAFS20,5,4,James,Nekoatl,MonoBlueF20,[GrowthF20]/StrengthF20/TruthF20,,Nekoatl,normal,forum,,charnel_mouse,
2020-11-03,2020-11-08,XCAFS20,5,1,charnel_mouse,zhavier,[BalanceF20]/BloodF20/StrengthF20,[BalanceF20/FeralF20]/BloodF20,,charnel_mouse,normal,forum,,charnel_mouse,
2020-11-10,2020-11-11,XCAFS20,6,2,dwarddd,FrozenStorm,MonoPurpleF20,[BashingF20]/DisciplineF20/NinjitsuF20,,dwarddd,normal,forum,,charnel_mouse,
2020-11-09,2020-11-11,XCAFS20,6,3,Nekoatl,bansa,[GrowthF20]/StrengthF20/TruthF20,[LawF20/PeaceF20]/FinesseF20,,bansa,normal,forum,,charnel_mouse,
2020-11-09,2020-11-13,XCAFS20,6,1,EricF,zhavier,[PastF20]/PeaceF20/TruthF20,[BalanceF20/FeralF20]/BloodF20,,EricF,normal,forum,,charnel_mouse,
2020-11-13,2020-11-14,XCAFS20,7,1,bansa,EricF,[LawF20/PeaceF20]/FinesseF20,[PastF20]/PeaceF20/TruthF20,,EricF,forfeit,forum,,charnel_mouse,"bansa resigned early, arguably a timeout"
2020-11-13,2020-11-22,XCAFS20,7,2,zhavier,charnel_mouse,[BalanceF20/FeralF20]/BloodF20,[BalanceF20]/BloodF20/StrengthF20,,charnel_mouse,normal,forum,,charnel_mouse,
2020-11-23,2020-11-30,XCAFS20,8,1,dwarddd,bansa,MonoPurpleF20,[LawF20/PeaceF20]/FinesseF20,,bansa,normal,forum,,charnel_mouse,
